# Histogram data
# Format: bin_center,count
# min_val=0
# max_val=100
# bin_width=0.01
# total_bins=9999
# zero_count=2927835501
0.005,2927835501
0.015,0
0.025,0
0.035,0
0.045,0
0.055,0
0.065,0
0.075,0
0.085,0
0.095,0
0.105,0
0.115,0
0.125,0
0.135,0
0.145,0
0.155,0
0.165,0
0.175,0
0.185,0
0.195,0
0.205,0
0.215,0
0.225,0
0.235,0
0.245,0
0.255,0
0.265,0
0.275,0
0.285,0
0.295,0
0.305,0
0.315,0
0.325,0
0.335,0
0.345,0
0.355,0
0.365,0
0.375,0
0.385,0
0.395,0
0.405,0
0.415,0
0.425,0
0.435,0
0.445,0
0.455,0
0.465,0
0.475,0
0.485,0
0.495,0
0.505,0
0.515,0
0.525,0
0.535,0
0.545,0
0.555,0
0.565,0
0.575,0
0.585,0
0.595,0
0.605,0
0.615,0
0.625,0
0.635,0
0.645,0
0.655,0
0.665,0
0.675,0
0.685,0
0.695,0
0.705,0
0.715,0
0.725,0
0.735,0
0.745,0
0.755,0
0.765,0
0.775,0
0.785,0
0.795,0
0.805,0
0.815,0
0.825,0
0.835,0
0.845,0
0.855,0
0.865,0
0.875,0
0.885,0
0.895,0
0.905,0
0.915,0
0.925,0
0.935,0
0.945,0
0.955,0
0.965,0
0.975,0
0.985,0
0.995,0
1.005,947659
1.015,634
1.025,600
1.035,594
1.045,543
1.055,540
1.065,569
1.075,516
1.085,549
1.095,470
1.105,510
1.115,490
1.125,478
1.135,458
1.145,485
1.155,438
1.165,406
1.175,433
1.185,461
1.195,410
1.205,427
1.215,404
1.225,402
1.235,373
1.245,429
1.255,346
1.265,365
1.275,355
1.285,344
1.295,352
1.305,369
1.315,380
1.325,370
1.335,321
1.345,350
1.355,331
1.365,289
1.375,278
1.385,288
1.395,334
1.405,322
1.415,277
1.425,287
1.435,288
1.445,279
1.455,269
1.465,274
1.475,277
1.485,259
1.495,260
1.505,239
1.515,222
1.525,271
1.535,236
1.545,262
1.555,223
1.565,212
1.575,221
1.585,229
1.595,242
1.605,189
1.615,201
1.625,202
1.635,215
1.645,221
1.655,190
1.665,180
1.675,183
1.685,203
1.695,171
1.705,181
1.715,183
1.725,175
1.735,188
1.745,164
1.755,168
1.765,171
1.775,161
1.785,158
1.795,173
1.805,160
1.815,148
1.825,163
1.835,158
1.845,156
1.855,156
1.865,147
1.875,146
1.885,165
1.895,130
1.905,123
1.915,156
1.925,126
1.935,152
1.945,149
1.955,132
1.965,126
1.975,138
1.985,118
1.995,122
2.005,105
2.015,115
2.025,131
2.035,134
2.045,129
2.055,128
2.065,111
2.075,141
2.085,137
2.095,120
2.105,122
2.115,128
2.125,101
2.135,101
2.145,112
2.155,93
2.165,96
2.175,119
2.185,102
2.195,103
2.205,108
2.215,106
2.225,99
2.235,117
2.245,98
2.255,99
2.265,97
2.275,116
2.285,90
2.295,88
2.305,104
2.315,90
2.325,102
2.335,102
2.345,85
2.355,98
2.365,77
2.375,80
2.385,66
2.395,89
2.405,80
2.415,100
2.425,102
2.435,90
2.445,102
2.455,90
2.465,82
2.475,75
2.485,78
2.495,77
2.505,83
2.515,78
2.525,68
2.535,93
2.545,78
2.555,95
2.565,59
2.575,55
2.585,76
2.595,59
2.605,57
2.615,61
2.625,80
2.635,68
2.645,71
2.655,58
2.665,66
2.675,55
2.685,83
2.695,73
2.705,79
2.715,65
2.725,59
2.735,62
2.745,54
2.755,68
2.765,62
2.775,63
2.785,66
2.795,59
2.805,66
2.815,63
2.825,49
2.835,60
2.845,60
2.855,67
2.865,57
2.875,49
2.885,55
2.895,59
2.905,55
2.915,51
2.925,56
2.935,53
2.945,43
2.955,52
2.965,48
2.975,47
2.985,48
2.995,46
3.005,45
3.015,35
3.025,43
3.035,43
3.045,38
3.055,51
3.065,54
3.075,54
3.085,45
3.095,50
3.105,50
3.115,50
3.125,48
3.135,49
3.145,43
3.155,40
3.165,54
3.175,42
3.185,53
3.195,48
3.205,43
3.215,53
3.225,58
3.235,46
3.245,43
3.255,46
3.265,50
3.275,54
3.285,44
3.295,52
3.305,43
3.315,59
3.325,47
3.335,45
3.345,34
3.355,38
3.365,32
3.375,46
3.385,35
3.395,46
3.405,43
3.415,30
3.425,33
3.435,34
3.445,39
3.455,42
3.465,39
3.475,44
3.485,36
3.495,37
3.505,36
3.515,37
3.525,31
3.535,40
3.545,29
3.555,39
3.565,32
3.575,37
3.585,43
3.595,41
3.605,34
3.615,35
3.625,31
3.635,43
3.645,42
3.655,35
3.665,36
3.675,37
3.685,34
3.695,37
3.705,36
3.715,30
3.725,37
3.735,32
3.745,39
3.755,33
3.765,42
3.775,43
3.785,34
3.795,27
3.805,26
3.815,30
3.825,30
3.835,35
3.845,28
3.855,31
3.865,24
3.875,25
3.885,35
3.895,27
3.905,31
3.915,25
3.925,31
3.935,26
3.945,38
3.955,20
3.965,27
3.975,30
3.985,25
3.995,26
4.005,31
4.015,30
4.025,25
4.035,24
4.045,25
4.055,23
4.065,33
4.075,23
4.085,25
4.095,29
4.105,23
4.115,32
4.125,30
4.135,34
4.145,34
4.155,23
4.165,29
4.175,31
4.185,23
4.195,29
4.205,14
4.215,36
4.225,33
4.235,27
4.245,23
4.255,17
4.265,22
4.275,16
4.285,19
4.295,30
4.305,19
4.315,18
4.325,27
4.335,17
4.345,26
4.355,24
4.365,27
4.375,20
4.385,24
4.395,25
4.405,20
4.415,28
4.425,28
4.435,22
4.445,20
4.455,23
4.465,31
4.475,30
4.485,15
4.495,24
4.505,31
4.515,26
4.525,23
4.535,26
4.545,21
